priority,issue,product_title,handle,inventory,image_count,largest_px
P0,no_image,Alocasia Portei Aurea Variegated,alocasia-portei-aurea-variegated-pre-order,20,0,0
P0,no_image,Alocasia Macrorrhiza Albo Variegated,alocasia-macrorrhiza-albo-variegated-pre-order,20,0,0
P0,no_image,Alocasia Black Stem Variegated,alocasia-black-stem-variegated-pre-order,20,0,0
P0,no_image,Alocasia Brancifolia Aurea Variegated,alocasia-brancifolia-aurea-variegated-pre-order,20,0,0
P0,no_image,Anthurium DocBlock Red Crystallinum Michelle F2,anthurium-docblock-red-crystallinum-michelle-f2-pre-order,20,0,0
P0,no_image,Tissue Culture Starter Kit,tissue-culture-starter-kit,-70,0,0
P1,low_res,Alocasia Cucullata Albo Variegated,alocasia-cucullata-albo-variegated-pre-order,20,1,186
P1,low_res,Alocasia Portora Albo Variegated,alocasia-portora-albo-variegated-pre-order,20,1,186
P1,low_res,Alocasia Puber Aurea Variegated,alocasia-puber-aurea-variegated-pre-order,19,1,186
P1,low_res,Philodendron Yellow Congo Variegated,philodendron-yellow-congo-variegated-pre-order,20,1,186
P1,low_res,Anthurium Bonplandii Narrow Mix Variegated,anthurium-bonplandii-narrow-mix-variegated-pre-order,20,1,186
P1,low_res,Anthurium SKG Red Crystallinum X Tezula Red Crystallinum,anthurium-skg-red-crystallinum-x-tezula-red-crystallinum-pre-order,20,1,189
P1,low_res,Philodendron White Knight Gouache Pink Variegated,philodendron-white-knight-gouache-pink-variegated-pre-order,20,2,192
P1,low_res,Anthurium Pallidiflorum,anthurium-pallidiflorum-pre-order,20,2,192
P1,low_res,Philodendron Callosum,philodendron-callosum-pre-order,20,2,193
P1,low_res,Alocasia Infernalis Aurea Variegated,alocasia-infernalis-aurea-variegated-pre-order,20,2,200
P1,low_res,Anthurium Ace of Spades X Luxurians,anthurium-ace-of-spades-x-luxurians-pre-order,20,2,211
P1,low_res,Anthurium Bonplandii Narrow Albo Variegated,anthurium-bonplandii-narrow-albo-variegated-pre-order,20,1,212
P1,low_res,Alocasia Scalprum Albo Variegated,alocasia-scalprum-albo-variegated-pre-order,20,2,214
P1,low_res,Alocasia Odora Silver Aurea Variegated,alocasia-odora-silver-aurea-variegated-pre-order,20,2,219
P1,low_res,Alocasia Pseudo Sanderiana Aurea Variegated,alocasia-pseudo-sanderiana-aurea-variegated-pre-order,20,2,219
P1,low_res,Alocasia Watsoniana Doff Pink Variegated,alocasia-watsoniana-doff-pink-variegated-pre-order,20,2,219
P1,low_res,Alocasia Yucatan Princess Pink Variegated,alocasia-yucatan-princess-pink-variegated-pre-order,20,2,219
P1,low_res,Alocasia Shock Treatment Aurea Variegated,alocasia-shock-treatment-aurea-variegated-pre-order,20,2,219
P1,low_res,Alocasia Watsoniana Glossy Pink Variegated,alocasia-watsoniana-glossy-pink-variegated-pre-order,20,2,219
P1,low_res,Philodendron Pinnatifidum Olympiad Albo Variegated,philodendron-pinnatifidum-olympiad-albo-variegated-pre-order,20,2,219
P1,low_res,Anthurium Queen Of Hearts,anthurium-queen-of-hearts-pre-order,20,2,219
P1,low_res,Alocasia Dragon Breath Aurea Variegated,alocasia-dragon-breath-aurea-variegated-pre-order,20,2,221
P1,low_res,Alocasia Silver Dragon Albo Variegated,alocasia-silver-dragon-albo-variegated-pre-order,20,2,222
P1,low_res,Anthurium Forgetii Variegated,anthurium-forgetii-variegated-pre-order,20,2,222
P1,low_res,Anthurium KOS Hybrid x Crystallinum Crackin Veins,anthurium-kos-hybrid-x-crystallinum-crackin-veins-pre-order,20,2,232
P1,low_res,Anthurium AOS X Papi Variegated,anthurium-aos-x-papi-variegated-pre-order,20,1,238
P1,low_res,Alocasia Plumbea Flying Squid,alocasia-plumbea-flying-squid-pre-order,20,2,240
P1,low_res,Anthurium Vittarifolium Variegated,anthurium-vittarifolium-variegated-pre-order,20,2,250
P1,low_res,Alocasia Nobilis Aurea Variegated,alocasia-nobilis-aurea-variegated-pre-order,20,2,251
P1,low_res,Alocasia Longiloba Suhirmaniana Aurea Variegated,alocasia-longiloba-suhirmaniana-aurea-variegated-pre-order,20,2,252
P1,low_res,Alocasia Polly Lava Variegated,alocasia-polly-lava-variegated-pre-order,20,1,256
P1,low_res,Alocasia Black Velvet Snowflake Pink Variegated,alocasia-black-velvet-snowflake-pink-variegated-pre-order,20,1,256
P1,low_res,Alocasia Golden Bone Mint Variegated,alocasia-golden-bone-mint-variegated-pre-order,20,2,262
P1,low_res,Anthurium Red Crystallinum X Dorayaki,anthurium-red-crystallinum-x-dorayaki-pre-order,20,2,266
P1,low_res,Anthurium Sp Napo,anthurium-sp-napo-pre-order,20,2,270
P1,low_res,Alocasia Regal Shields Albo Variegated,alocasia-regal-shields-albo-variegated-pre-order,20,2,276
P1,low_res,Anthurium David Portilla Dreams,anthurium-david-portilla-dreams-pre-order,20,2,277
P1,low_res,Alocasia Watsoniana Doff Albo Variegated,alocasia-watsoniana-doff-albo-variegated-pre-order,20,2,290
P1,low_res,Philodendron Lynamii,philodendron-lynamii-pre-order,20,2,294
P1,low_res,Alocasia Cuprea Aurea Variegated Latte,alocasia-cuprea-aurea-variegated-latte-pre-order,20,2,301
