priority,product_title,handle,tc_reference,mature_reference,google_searches_needed
P0,Alocasia Portei Aurea Variegated,alocasia-portei-aurea-variegated-pre-order,SEARCH,SEARCH,2
P0,Alocasia Macrorrhiza Albo Variegated,alocasia-macrorrhiza-albo-variegated-pre-order,SEARCH,SEARCH,2
P0,Alocasia Black Stem Variegated,alocasia-black-stem-variegated-pre-order,SEARCH,SEARCH,2
P0,Alocasia Brancifolia Aurea Variegated,alocasia-brancifolia-aurea-variegated-pre-order,SEARCH,SEARCH,2
P0,Anthurium DocBlock Red Crystallinum Michelle F2,anthurium-docblock-red-crystallinum-michelle-f2-pre-order,SEARCH,SEARCH,2
P0,Tissue Culture Starter Kit,tissue-culture-starter-kit,SEARCH,SEARCH,2
P1,Alocasia Cucullata Albo Variegated,alocasia-cucullata-albo-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Portora Albo Variegated,alocasia-portora-albo-variegated-pre-order,SEARCH,on-site,1
P1,Alocasia Puber Aurea Variegated,alocasia-puber-aurea-variegated-pre-order,SEARCH,on-site,1
P1,Philodendron Yellow Congo Variegated,philodendron-yellow-congo-variegated-pre-order,SEARCH,on-site,1
P1,Anthurium Bonplandii Narrow Mix Variegated,anthurium-bonplandii-narrow-mix-variegated-pre-order,SEARCH,on-site,1
P1,Anthurium SKG Red Crystallinum X Tezula Red Crystallinum,anthurium-skg-red-crystallinum-x-tezula-red-crystallinum-pre-order,on-site,SEARCH,1
P1,Philodendron White Knight Gouache Pink Variegated,philodendron-white-knight-gouache-pink-variegated-pre-order,on-site,on-site,0
P1,Anthurium Pallidiflorum,anthurium-pallidiflorum-pre-order,on-site,on-site,0
P1,Philodendron Callosum,philodendron-callosum-pre-order,on-site,on-site,0
P1,Alocasia Infernalis Aurea Variegated,alocasia-infernalis-aurea-variegated-pre-order,on-site,on-site,0
P1,Anthurium Ace of Spades X Luxurians,anthurium-ace-of-spades-x-luxurians-pre-order,on-site,on-site,0
P1,Anthurium Bonplandii Narrow Albo Variegated,anthurium-bonplandii-narrow-albo-variegated-pre-order,SEARCH,on-site,1
P1,Alocasia Scalprum Albo Variegated,alocasia-scalprum-albo-variegated-pre-order,on-site,on-site,0
P1,Alocasia Odora Silver Aurea Variegated,alocasia-odora-silver-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Pseudo Sanderiana Aurea Variegated,alocasia-pseudo-sanderiana-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Watsoniana Doff Pink Variegated,alocasia-watsoniana-doff-pink-variegated-pre-order,on-site,on-site,0
P1,Alocasia Yucatan Princess Pink Variegated,alocasia-yucatan-princess-pink-variegated-pre-order,on-site,on-site,0
P1,Alocasia Shock Treatment Aurea Variegated,alocasia-shock-treatment-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Watsoniana Glossy Pink Variegated,alocasia-watsoniana-glossy-pink-variegated-pre-order,on-site,on-site,0
P1,Philodendron Pinnatifidum Olympiad Albo Variegated,philodendron-pinnatifidum-olympiad-albo-variegated-pre-order,on-site,on-site,0
P1,Anthurium Queen Of Hearts,anthurium-queen-of-hearts-pre-order,on-site,on-site,0
P1,Alocasia Dragon Breath Aurea Variegated,alocasia-dragon-breath-aurea-variegated-pre-order,on-site,on-site,0
